radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,pixels_certain_positive,pixels_uncertain_boundary,pixels_certain_negative
3,0.0005310374544933438,0.0005542563740164042,0.017083795741200447,9.83055288088508e-05,4192,6566,251386
3,0.0007076268084347248,0.001433991128578782,0.020161809399724007,0.00016265471640508622,4253,6873,251018
1,0.000583136803470552,0.007144327741116285,0.05225144326686859,1.3841095096722711e-05,3882,2327,255935
1,0.0007167136063799262,0.005668560042977333,0.05203143507242203,8.39005660964176e-05,7538,2383,252223
2,0.000583136803470552,0.0055189658887684345,0.029260385781526566,6.4551254581601825e-06,2747,4650,254747
2,0.0007167136063799262,0.002334293443709612,0.032584063708782196,7.119534711819142e-05,6374,4761,251009
3,0.000583136803470552,0.0037471463438123465,0.020841026678681374,6.087868314352818e-06,1634,6967,253543
3,0.0007167136063799262,0.0019262637943029404,0.022593164816498756,6.648104317719117e-05,5230,7135,249779
1,0.0006119855097495019,0.01221941877156496,0.05089607089757919,2.9248021746752784e-05,5129,1774,255241
1,0.00038671522634103894,0.00353990588337183,0.038706786930561066,7.595251645398093e-06,4033,2200,255911
2,0.0006119855097495019,0.010552914813160896,0.031490352004766464,1.4888737496221438e-05,4268,3544,254332
2,0.00038671522634103894,0.0014446869026869535,0.021716101095080376,6.172057055664482e-06,2958,4399,254787
3,0.0006119855097495019,0.0093275997787714,0.023733513429760933,9.826971108850557e-06,3429,5307,253408
3,0.00038671522634103894,0.0010948656126856804,0.014827925711870193,5.977614364383044e-06,1903,6594,253647
1,0.0006084308843128383,0.002575504593551159,0.049972254782915115,0.00031024383497424424,2565,1457,258122
1,0.0008822017116472125,0.01613977737724781,0.07372891157865524,3.4007560316240415e-05,2920,2379,256845
2,0.0006084308843128383,0.0013451501727104187,0.02658442035317421,0.0003097933658864349,1866,2906,257372
2,0.0008822017116472125,0.012938901782035828,0.04328940808773041,1.0706359717005398e-05,1760,4753,255631
3,0.0006084308843128383,0.0010869395919144154,0.018251877278089523,0.00030732349841855466,1191,4347,256606
3,0.0008822017116472125,0.01417789701372385,0.03158947825431824,6.038012998033082e-06,854,6889,254401
1,0.0005692081176675856,0.004299529828131199,0.05381420999765396,2.6561514459899627e-05,4855,2259,255030
1,0.0005778512568213046,0.008279220201075077,0.05298234149813652,4.8086771130329e-05,3116,2139,256889
2,0.0005692081176675856,0.002313095610588789,0.0304428543895483,1.2258292372280266e-05,3754,4514,253876
2,0.0005778512568213046,0.00529372226446867,0.03171246871352196,1.9480710761854425e-05,2076,4273,255795
3,0.0005692081176675856,0.0019212141633033752,0.02100851759314537,8.134914423862938e-06,2676,6760,252708
