radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,boundary_over_certain_positive,boundary_over_certain_negative
1,0.0007778371800668538,0.007859459146857262,0.05200200155377388,0.00021036184625700116,6.616486017942821,247.20262955974687
2,0.0007778371800668538,0.005856646224856377,0.031823672354221344,0.00016980955842882395,5.433770648320449,187.4080154772931
3,0.0007778371800668538,0.005180663429200649,0.023127809166908264,0.00015339921810664237,4.4642562642747805,150.76875522813896
