radius,n_images,total_pixels,gt_positive_pixels,pred_positive_pixels,certain_positive_pixels,uncertain_boundary_pixels,certain_negative_pixels,fp_total,fn_total,error_total,error_certain_positive,error_uncertain_boundary,error_certain_negative,fp_uncertain_boundary,fn_uncertain_boundary,fp_certain_negative,fn_certain_positive,certain_region_errors,global_pct_errors_in_uncertain_boundary,global_pct_errors_in_certain_regions,global_pct_false_positives_in_uncertain_boundary,global_pct_false_negatives_in_uncertain_boundary,global_error_rate_total,global_error_rate_certain_positive,global_error_rate_uncertain_boundary,global_error_rate_certain_negative,error_rate_total_mean,error_rate_total_std,error_rate_certain_positive_mean,error_rate_certain_positive_std,error_rate_uncertain_boundary_mean,error_rate_uncertain_boundary_std,error_rate_certain_negative_mean,error_rate_certain_negative_std,pct_errors_in_uncertain_boundary_mean,pct_errors_in_uncertain_boundary_std,pct_errors_in_certain_regions_mean,pct_errors_in_certain_regions_std,pct_false_positives_in_uncertain_boundary_mean,pct_false_positives_in_uncertain_boundary_std,pct_false_negatives_in_uncertain_boundary_mean,pct_false_negatives_in_uncertain_boundary_std
1,122,31981568,713373,737957,617255,193213,31171100,82527,57943,140470,34369,50534,55567,26960,23574,55567,34369,89936,0.3597494126857267,0.6402505873135614,0.3266809650171136,0.4068481093481407,0.004392217417232312,0.055680391410348126,0.2615455481772647,0.0017826448216456852,0.0043922174172306505,0.0035191398558376582,0.04206044244904666,0.06622252532739677,0.2615988147694948,0.06948840807098487,0.0017793101052262473,0.0020162670411588307,0.4746102603513785,0.21569294363182462,0.5253897395222494,0.21569294369862033,0.5108991552604618,0.2861834185693804,0.6763268198599409,0.25947294868698667
2,122,31981568,713373,737957,517778,397155,31066635,82527,57943,140470,26124,67787,46559,35968,31819,46559,26124,72683,0.4825727913430038,0.5174272086562843,0.4358331212809919,0.5491431234134423,0.004392217417232312,0.050454055599108025,0.17068147196933925,0.001498681785137008,0.0043922174172306505,0.0035191398558376582,0.03492824093605746,0.0655567566440941,0.1703269938084581,0.06607029288162772,0.0014948055188137546,0.0019209534809777576,0.6005228531058273,0.23366826641873065,0.3994771467678005,0.233668266478959,0.6208637666726433,0.2965012150454778,0.8106907387486252,0.23507541615162073
3,122,31981568,713373,737957,426266,588660,30966642,82527,57943,140470,21720,76410,42340,40187,36223,42340,21720,64060,0.5439595643193963,0.4560404356798918,0.4869557841670157,0.6251488531822219,0.004392217417232312,0.050954099083658805,0.12980328203035202,0.001367277730662558,0.0043922174172306505,0.0035191398558376582,0.03291972868530187,0.06695676855611908,0.12938541353432703,0.057316396387556576,0.0013627954925319022,0.0018730190177889238,0.6579012733265294,0.2367637490340047,0.3420987265470986,0.23676374909045567,0.6673183027295436,0.2933376238527131,0.8620437810036818,0.20263950917932363
