radius,n_images,total_pixels,gt_positive_pixels,pred_positive_pixels,certain_positive_pixels,uncertain_boundary_pixels,certain_negative_pixels,fp_total,fn_total,error_total,error_certain_positive,error_uncertain_boundary,error_certain_negative,fp_uncertain_boundary,fn_uncertain_boundary,fp_certain_negative,fn_certain_positive,certain_region_errors,global_pct_errors_in_uncertain_boundary,global_pct_errors_in_certain_regions,global_pct_false_positives_in_uncertain_boundary,global_pct_false_negatives_in_uncertain_boundary,global_error_rate_total,global_error_rate_certain_positive,global_error_rate_uncertain_boundary,global_error_rate_certain_negative,error_rate_total_mean,error_rate_total_std,error_rate_certain_positive_mean,error_rate_certain_positive_std,error_rate_uncertain_boundary_mean,error_rate_uncertain_boundary_std,error_rate_certain_negative_mean,error_rate_certain_negative_std,pct_errors_in_uncertain_boundary_mean,pct_errors_in_uncertain_boundary_std,pct_errors_in_certain_regions_mean,pct_errors_in_certain_regions_std,pct_false_positives_in_uncertain_boundary_mean,pct_false_positives_in_uncertain_boundary_std,pct_false_negatives_in_uncertain_boundary_mean,pct_false_negatives_in_uncertain_boundary_std
1,100,26214400,572088,563697,486394,172189,25555817,41495,49886,91381,27893,42462,21026,20469,21993,21026,27893,48919,0.4646698985560842,0.5353301014428214,0.4932883479925454,0.4408651725926295,0.003485908508300768,0.057346513320465024,0.2466011185382071,0.0008227481046682998,0.0034859085082994514,0.002792858104861865,0.05222592780760696,0.08148637140808092,0.24368716454166303,0.07985901922810745,0.0008237941429043382,0.001026601275954198,0.5913388046111465,0.210321735084366,0.40866119522541683,0.21032173515868594,0.6222173659004926,0.2615914834740131,0.6981970630307752,0.27409205957067895
2,100,26214400,572088,563697,396497,356041,25461862,41495,49886,91381,19547,56860,14974,26521,30339,14974,19547,34521,0.6222300040483009,0.37776999595060484,0.639137245449719,0.6081666198921377,0.003485908508300768,0.04929923807745095,0.15970070862620886,0.0005880952461371419,0.0034859085082994514,0.002792858104861865,0.0440978735281579,0.07873025242226024,0.1567481724897476,0.07818310967256893,0.0005883874489524587,0.0008843541096087914,0.7256278500510192,0.2013981727865141,0.2743721497855442,0.20139817284999378,0.744512885293672,0.2614572526585701,0.8283125650256459,0.226081696587524
3,100,26214400,572088,563697,313977,527362,25373061,41495,49886,91381,14661,64079,12641,28854,35225,12641,14661,27302,0.7012289206720201,0.2987710793268855,0.695360886852162,0.706109930640448,0.003485908508300768,0.04669450310053071,0.12150856527392541,0.0004982055574611179,0.0034859085082994514,0.002792858104861865,0.04146162607950609,0.07976345856331915,0.11885979747085594,0.06918791112623943,0.0004980353627311378,0.0008353826556858949,0.7823425023409935,0.18917979196232726,0.21765749749556973,0.18917979201762766,0.7895252747129439,0.2561210976845555,0.8827755435315483,0.17875714685776065
