radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,boundary_over_certain_positive,boundary_over_certain_negative
1,0.0007779362495057285,0.010345017537474632,0.04080289602279663,0.0002628191723488271,3.944207525505772,155.25083523450462
2,0.0007779362495057285,0.007580236531794071,0.029038146138191223,0.00019922743376810104,3.830770453718091,145.75375282899728
3,0.0007779362495057285,0.006298145279288292,0.022184543311595917,0.0001727276248857379,3.5223930741246465,128.43656784067602
