radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,pixels_certain_positive,pixels_uncertain_boundary,pixels_certain_negative
1,0.0010478910990059376,0.0006304447306320071,0.055796049535274506,0.0007311633671633899,2282,1512,258350
2,0.0008081623818725348,0.008359944447875023,0.02742629311978817,0.00012906466145068407,6081,4688,251375
2,0.0010478910990059376,0.00032304562046192586,0.029455317184329033,0.0007187356823123991,1550,3024,257570
3,0.0008081623818725348,0.007293454837054014,0.022657014429569244,6.582194328075275e-05,4951,7030,250163
3,0.0010478910990059376,0.0001955410116352141,0.020014841109514236,0.0007159106899052858,838,4532,256774
1,0.0005544263985939324,0.009796425700187683,0.039159368723630905,0.00021203405049163848,2542,1679,257923
1,0.0004296698607504368,0.009580932557582855,0.03275548294186592,3.837133772321977e-05,3306,2171,256667
2,0.0005544263985939324,0.005605511367321014,0.02557414025068283,0.00019388849614188075,1730,3355,257059
2,0.0004296698607504368,0.008866255171597004,0.019367745146155357,3.391568679944612e-05,2248,4339,255557
3,0.0005544263985939324,0.004335450939834118,0.018246492370963097,0.00019357370911166072,941,5024,256179
3,0.0004296698607504368,0.0071638766676187515,0.014719247817993164,3.256515265093185e-05,1215,6498,254431
1,0.0004931947332806885,0.005932794418185949,0.03351527824997902,0.00016762530140113086,3559,1944,256641
1,0.0005614026449620724,0.010222453624010086,0.032176706939935684,0.00010124966502189636,5263,2100,254781
2,0.0004931947332806885,0.003334483364596963,0.021294845268130302,0.0001478117919759825,2611,3888,255645
2,0.0005614026449620724,0.0067269569262862206,0.02406851015985012,6.955998105695471e-05,4241,4196,253707
3,0.0004931947332806885,0.0012985174544155598,0.015493225306272507,0.00014472992916125804,1684,5825,254635
3,0.0005614026449620724,0.005792187061160803,0.01821635104715824,5.487768794409931e-05,3239,6288,252617
1,0.0010221751872450113,0.0306965671479702,0.047745734453201294,0.00025044428184628487,3545,1987,256612
1,0.00047285924665629864,0.0005431232857517898,0.04064801335334778,0.00025505118537694216,2179,1398,258567
2,0.0010221751872450113,0.031899042427539825,0.040838342159986496,9.195272286888212e-05,2577,3973,255594
2,0.00047285924665629864,0.0005455166683532298,0.023216944187879562,0.00022606643324252218,1508,2793,257843
3,0.0010221751872450113,0.03500087931752205,0.03308308497071266,5.468778908834793e-05,1634,5950,254560
3,0.00047285924665629864,0.0006091977702453732,0.01584826596081257,0.0002240284811705351,888,4153,257103
1,0.0011652355315163732,0.011139540001749992,0.06107261776924133,0.0004383442865218967,5052,2251,254841
1,0.0005695756990462542,0.011958189308643341,0.032183315604925156,0.00019175630586687475,2928,2019,257197
2,0.0011652355315163732,0.003867164719849825,0.043679457157850266,0.0003691690508276224,3954,4499,253691
2,0.0005695756990462542,0.01145221572369337,0.02625206671655178,8.236062421929091e-05,1946,4035,256163
3,0.0011652355315163732,0.0025121334474533796,0.03141586482524872,0.0003424776077736169,2879,6740,252525
3,0.0005695756990462542,0.012101803906261921,0.020048275589942932,6.581620982615277e-05,1062,5969,255113
1,0.0007937696063891053,0.009813128039240837,0.036765675991773605,0.00032706110505387187,3878,2348,255918
1,0.0008404052932746708,0.01319917757064104,0.04529706388711929,0.00015163631178438663,5811,2320,254013
2,0.0007937696063891053,0.004464218858629465,0.02810676023364067,0.0002510122722014785,2729,4695,254720
2,0.0008404052932746708,0.00867121759802103,0.03332981839776039,9.935130947269499e-05,4675,4640,252829
3,0.0007937696063891053,0.003444553352892399,0.02116377279162407,0.00021179340546950698,1604,7034,253506
3,0.0008404052932746708,0.006290903780609369,0.025683710351586342,7.65492586651817e-05,3559,6956,251629
1,0.0004895149031654,0.007361593656241894,0.03843124583363533,2.9490216547856107e-05,4511,2279,255354
1,0.0005588941858150065,0.01783781871199608,0.031117381528019905,0.000119140422611963,3427,1760,256957
2,0.0004895149031654,0.004998450167477131,0.023993810638785362,8.032797268242575e-06,3399,4555,254190
2,0.0005588941858150065,0.015367243438959122,0.022310568019747734,0.00011126295430585742,2574,3517,256053
3,0.0004895149031654,0.0037555007729679346,0.017277278006076813,7.015914434305159e-06,2312,6822,253010
3,0.0005588941858150065,0.014646681025624275,0.017669977620244026,0.00010933958401437849,1743,5268,255133
1,0.0005853199400007725,0.00782168097794056,0.04074053466320038,7.144276605686173e-05,5753,2216,254175
1,0.000536446925252676,0.004442456178367138,0.03976744785904884,0.00014155550161376595,4251,2151,255742
2,0.0005853199400007725,0.0055282581597566605,0.028325658291578293,8.519366929249372e-06,4672,4429,253043
2,0.000536446925252676,0.0011315072188153863,0.02460283599793911,0.00012275278277229518,3204,4298,254642
3,0.0005853199400007725,0.0051779006607830524,0.02006913721561432,6.218705493665766e-06,3614,6635,251895
3,0.000536446925252676,0.0005474250065162778,0.016982825472950935,0.00011865089618368074,2179,6439,253526
1,0.0005628009093925357,0.001640067552216351,0.026549186557531357,0.00033513238304294646,5157,2020,254967
