epoch,train_loss,train_pixel_loss,train_dice_loss,val_f1,val_precision,val_recall,val_miou,val_loss
1,0.9393909266314555,0.16083925831870935,0.7785516670069743,0.6934674117898252,0.5669775455209131,0.8926026231600286,0.5307693243325298,0.07810512202836219
2,0.43888908209874455,0.04038888495415449,0.3985001960980524,0.755228966206164,0.8486820281200924,0.6803156628674477,0.606721199030946,0.04097128269218263
3,0.32054832454809207,0.03447567470870989,0.2860726505210719,0.7977342295844759,0.8581732014904929,0.7452482838183611,0.6635257007983907,0.03459312740181174
4,0.27516952279916745,0.029490662594661883,0.24567885988766386,0.8070844341066059,0.7929214578670112,0.8217625737405467,0.6765645998443677,0.035851791057558285
5,0.27321139116262655,0.030693615292266163,0.24251777609599004,0.8041433247160588,0.8341679379915483,0.7762050090411157,0.6724412295282175,0.035625065942960124
6,0.26491420961839635,0.03061472246250541,0.23429948705987833,0.8009480041054029,0.8384849433978774,0.7666279383728893,0.6679843869748634,0.038862645803462895
7,0.2523176338254791,0.028783438410417934,0.2235341956934978,0.8125336366166,0.8817158998419647,0.7534180446575102,0.6842582409416266,0.0325999508744904
8,0.22872333889155044,0.02594735055739425,0.20277598776768163,0.81736283288367,0.8346117276870442,0.8008124759652426,0.6911357634131974,0.03504832071207818
9,0.23892563374079379,0.0267165567841112,0.21220907845447973,0.8273041923337983,0.8779768738346967,0.782161529713024,0.7054721227998706,0.031136716760340192
10,0.2181301795176624,0.02355663729927589,0.1945735431209053,0.8293951172293637,0.8891816998848103,0.7771418519215189,0.7085184232021309,0.030185103726883728
11,0.20838443796659253,0.02271705206253172,0.18566738637452274,0.8415304476772385,0.8833246384111281,0.8035125471489374,0.7264156874928073,0.028850235222350983
12,0.20731148269680358,0.022985614063314248,0.18432586832144826,0.82315197414696,0.8963436963937659,0.7610109721074153,0.6994547847339462,0.03356550150506553
13,0.21360955149242558,0.0235532830786152,0.19005626808736742,0.8403905384350961,0.8477687120139519,0.8331396918645696,0.7247186013159557,0.028459687229423297
14,0.231342174266417,0.02618332844246755,0.20515884628000947,0.8394523581099729,0.8622160499950029,0.8178597435750244,0.7233243482822612,0.028383777077708925
15,0.22815362018408233,0.0254804877199463,0.20267313227211078,0.8315332445217848,0.8583753603873954,0.8063189847732019,0.7116447679603436,0.032377520709165504
16,0.22119822575873935,0.024886230045219056,0.19631199554069756,0.8260120741654262,0.8803332947575104,0.7780050564969121,0.7035950408636421,0.029816539204191594
17,0.2143418264296866,0.023350039535422914,0.1909917863373904,0.8166225278052048,0.8952876771145978,0.7506647902535305,0.6900778114998293,0.031917057532284944
18,0.22422764465673684,0.02593490881269279,0.19829273654013566,0.8136415336389392,0.8871355706253555,0.751392991269739,0.6858311084557538,0.03540541244936841
19,0.21099910808285488,0.02454019746426301,0.18645891147790497,0.841256983141299,0.8908258600898668,0.7969137368166652,0.7260082516184306,0.029114059749103728
20,0.2061453862595804,0.02299629521469787,0.18314909074724334,0.8427139635130404,0.8850382215498912,0.804253021215981,0.7281812322667839,0.02836271778990825
21,0.1875405727895265,0.019884099674977593,0.16765647327777036,0.8478044690801411,0.8718339997838161,0.8250640244151554,0.735816495552464,0.0284730125484722
22,0.18709298522816492,0.019273641552852907,0.16781934389134043,0.8583975952451706,0.8628200624108427,0.8540202423518088,0.7519234371172665,0.025465252676180432
23,0.19752592370682157,0.020915677506937503,0.1766102461470771,0.8442081057108892,0.8854143279238751,0.8066667212135262,0.7304153269421413,0.029223456579659666
24,0.19442817092556314,0.02080134880373773,0.1736268216801673,0.853832884843271,0.8900724328930154,0.8204289022164793,0.7449462493406259,0.02558476979001647
25,0.18686040974769397,0.0198434882403649,0.16701692158413917,0.8469227430045715,0.8775245214156235,0.8183833937439834,0.7344891649960443,0.029966404794582298
26,0.18520689125835282,0.01946452420838561,0.1657423671987868,0.8568104298294126,0.8786525066643357,0.836027949827734,0.749491126343674,0.0261730028405076
27,0.18735144886466645,0.020092134877616904,0.16725931339657185,0.8516339143648775,0.879261147051738,0.8256899500077391,0.7416049060638412,0.027105190968584447
28,0.19190849686406322,0.020492205252275637,0.17141629248550258,0.8362857974486173,0.8779477259435476,0.7983987759676974,0.7186350430277123,0.02993800766056492
29,0.18924326856726223,0.02063217046718622,0.16861109819608866,0.8512731394371166,0.8944472732024091,0.8120750456148057,0.7410579288665944,0.02536453523983558
30,0.18291098839536155,0.01967827234052352,0.1632327154739616,0.8561852517320743,0.8784586979069899,0.835013377625376,0.7485349019722621,0.02741010513688837
31,0.17393334209918976,0.017950891685124832,0.15598245011162512,0.8450864977375145,0.8962588232056203,0.7994419852886703,0.7317314281220588,0.029022214535091604
32,0.16416097793382467,0.016668044270697943,0.14749293351910778,0.8627104688201633,0.8785349551291466,0.8474459781212067,0.7585671493126228,0.02623001703371604
33,0.17677211269889911,0.01866116984411306,0.15811094365169093,0.8500638848855953,0.8947004389553271,0.8096695276511504,0.7392270599967602,0.028436533574547087
34,0.1650071702513498,0.016899467733947886,0.14810770258461078,0.8464615536401108,0.9077187494145651,0.7929495413969679,0.7337957091423686,0.02852607908703032
35,0.1753539540564891,0.018476428056001356,0.15687752568844668,0.855257514202658,0.8930385805560723,0.8205434506909391,0.747117830895335,0.02674868960110914
36,0.1656289384844377,0.016834051362670882,0.14879488760663062,0.8547659756450143,0.8985567382283556,0.8150451239168699,0.7463679616378546,0.026984406768211296
37,0.15912648198223606,0.016393147596186892,0.14273333488051423,0.8592840938570764,0.8880101606588328,0.832358307628076,0.7532849309692164,0.02689936255947465
38,0.1619810596415677,0.016999632715410794,0.14498142729100494,0.8578433318664606,0.9008106003663273,0.8187884044215376,0.7510732673861529,0.026564253893281733
39,0.1609451401325845,0.016327245852228292,0.1446178942611537,0.8523148746141652,0.8995305761688608,0.8098086222272801,0.7426382589186619,0.02690636260168893
