center,operation,radius,n_masks,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,miou_mean,miou_std,gt_area_mean,gt_area_std,perturbed_area_mean,perturbed_area_std,area_ratio_mean,area_ratio_std
Colour1,dilation,1,822,0.9525572791465331,0.014167365272256698,0.9097585235441797,0.025597901130953133,0.999999999995523,2.1769229816785748e-12,0.9097585235441797,0.025597901130953133,26053.586374695864,10209.685772035657,28383.08394160584,10376.50879336089,1.100081077698043,0.031605397370678294
Colour1,dilation,2,822,0.9077609470723123,0.025934816684076843,0.8321204056385414,0.042958106423749635,0.999999999995523,2.1769229816785748e-12,0.8321204056385414,0.042958106423749635,26053.586374695864,10209.685772035657,30829.616788321167,10567.96773930716,1.2050595711822565,0.06435343474738929
Colour1,dilation,3,822,0.8687021893550124,0.03529097588733049,0.7695787467946283,0.0544775144202321,0.999999999995523,2.1769229816785748e-12,0.7695787467946283,0.0544775144202321,26053.586374695864,10209.685772035657,33182.49148418492,10746.532043199964,1.3061922967070208,0.09640289396525296
Colour1,erosion,1,822,0.9472228021970142,0.01769526468311881,0.9999999999949439,2.8148963790988847e-12,0.900265700754547,0.031451924854927024,0.900265700754547,0.031451924854927024,26053.586374695864,10209.685772035657,23731.74695863747,10049.14282331659,0.900265700754547,0.031451924854927024
Colour1,erosion,2,822,0.8856970539989084,0.04075042706496454,0.9999999999941245,4.049337428668056e-12,0.7971570235073947,0.06338436561012188,0.7971570235073947,0.06338436561012188,26053.586374695864,10209.685772035657,21326.626520681264,9876.83590327742,0.7971570235073947,0.06338436561012188
Colour1,erosion,3,822,0.8190143237456301,0.06926168926273198,0.99999999999292,7.342954553171945e-12,0.6989666782107433,0.09373711973387519,0.6989666782107433,0.09373711973387519,26053.586374695864,10209.685772035657,19036.514598540147,9726.569130994025,0.6989666782107433,0.09373711973387519
Colour2,dilation,1,871,0.9618046650771783,0.012399820118810793,0.9266929330212651,0.02286762006845626,0.9999999999967215,1.259596581264004e-12,0.9266929330212651,0.02286762006845626,35661.66590126292,15484.288825201082,38151.690011481056,15631.3385780992,1.0797724955769488,0.02702001762922012
Colour2,dilation,2,871,0.9245535910099142,0.023278862353549767,0.8605564764040008,0.03990993101206428,0.9999999999967215,1.259596581264004e-12,0.8605564764040008,0.03990993101206428,35661.66590126292,15484.288825201082,40803.56142365098,15803.059602264539,1.1645965047906262,0.055256663397819296
Colour2,dilation,3,871,0.8920242382559842,0.03218134301728664,0.8066013890229254,0.05194435534438482,0.9999999999967215,1.259596581264004e-12,0.8066013890229254,0.05194435534438482,35661.66590126292,15484.288825201082,43314.547646383464,15955.884762682843,1.2450657464037274,0.08254095898560218
Colour2,erosion,1,871,0.9583927447713202,0.014740516718991174,0.9999999999963964,1.4985235572789006e-12,0.920490540575131,0.02692297634466724,0.920490540575131,0.02692297634466724,35661.66590126292,15484.288825201082,33179.63719862227,15340.725914120358,0.920490540575131,0.02692297634466724
