center,mask_name,operation,radius,f1,precision,recall,miou,gt_area,perturbed_area,area_ratio
Colour1,Color1_000000.PNG,erosion,1,0.9270816123793889,0.9999999999913471,0.8640747663486797,0.8640747663486797,13375.0,11557.0,0.8640747663486797
Colour1,Color1_000000.PNG,erosion,2,0.8396303681441225,0.9999999999896672,0.723588785041319,0.723588785041319,13375.0,9678.0,0.723588785041319
Colour1,Color1_000000.PNG,erosion,3,0.7419460568827898,0.9999999999873226,0.589757009341385,0.589757009341385,13375.0,7888.0,0.589757009341385
Colour1,Color1_000000.PNG,dilation,1,0.9361329335744781,0.8799342105205267,0.9999999999925233,0.8799342105205267,13375.0,15200.0,1.1364485981223442
Colour1,Color1_000000.PNG,dilation,2,0.8771929332044682,0.7812499999954365,0.9999999999925233,0.7812499999954365,13375.0,17120.0,1.27999999999043
Colour1,Color1_000000.PNG,dilation,3,0.8270722700752527,0.7051349641464301,0.9999999999925233,0.7051349641464301,13375.0,18968.0,1.4181682242884621
Colour1,Color1_000001.PNG,erosion,1,0.9525312337081528,0.9999999999951966,0.9093648990962289,0.9093648990962289,22894.0,20819.0,0.9093648990962289
Colour1,Color1_000001.PNG,erosion,2,0.8981879814112855,0.9999999999946417,0.8151917532942465,0.8151917532942465,22894.0,18663.0,0.8151917532942465
Colour1,Color1_000001.PNG,erosion,3,0.8410741368872068,0.9999999999939813,0.7257360006957031,0.7257360006957031,22894.0,16615.0,0.7257360006957031
Colour1,Color1_000001.PNG,dilation,1,0.9564871761774494,0.9166032750093421,0.999999999995632,0.9166032750093421,22894.0,24977.0,1.0909845374286233
Colour1,Color1_000001.PNG,dilation,2,0.9144614150822895,0.8424035029589638,0.999999999995632,0.8424035029589638,22894.0,27177.0,1.1870795841653399
Colour1,Color1_000001.PNG,dilation,3,0.8775345438700666,0.781792104901032,0.999999999995632,0.781792104901032,22894.0,29284.0,1.2791124311990953
Colour1,Color1_000002.PNG,erosion,1,0.9503012275351647,0.9999999999949274,0.9053085966159748,0.9053085966159748,21776.0,19714.0,0.9053085966159748
Colour1,Color1_000002.PNG,erosion,2,0.8938893191773212,0.9999999999943175,0.8081373989676335,0.8081373989676335,21776.0,17598.0,0.8081373989676335
Colour1,Color1_000002.PNG,erosion,3,0.8336680373969028,0.9999999999935753,0.7147777369548366,0.7147777369548366,21776.0,15565.0,0.7147777369548366
Colour1,Color1_000002.PNG,dilation,1,0.9546271036650142,0.9131929883380306,0.9999999999954078,0.9131929883380306,21776.0,23846.0,1.0950587803035678
Colour1,Color1_000002.PNG,dilation,2,0.9115301205459705,0.83744183363136,0.9999999999954078,0.83744183363136,21776.0,26003.0,1.1941127847116362
Colour1,Color1_000002.PNG,dilation,3,0.8732580263114764,0.77502936256264,0.9999999999954078,0.77502936256264,21776.0,28097.0,1.2902736958059777
Colour1,Color1_000003.PNG,erosion,1,0.9554536622863687,0.9999999999961626,0.914706914703704,0.914706914703704,28490.0,26060.0,0.914706914703704
Colour1,Color1_000003.PNG,erosion,2,0.9049467160246343,0.9999999999957526,0.8263952263923258,0.8263952263923258,28490.0,23544.0,0.8263952263923258
Colour1,Color1_000003.PNG,erosion,3,0.8520659502446499,0.9999999999952711,0.7422604422578369,0.7422604422578369,28490.0,21147.0,0.7422604422578369
Colour1,Color1_000003.PNG,dilation,1,0.9590331745732319,0.9212909067361231,0.9999999999964899,0.9212909067361231,28490.0,30924.0,1.0854334854296754
