radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,boundary_over_certain_positive,boundary_over_certain_negative
1,0.0007783162291161716,0.008126522414386272,0.0466390885412693,0.0002689390385057777,5.7391201504231075,173.41881193743964
2,0.0007783162291161716,0.006669965106993914,0.029215523973107338,0.00023002366651780903,4.380161440795675,127.01094811409502
3,0.0007783162291161716,0.006309270393103361,0.021563101559877396,0.0002136330440407619,3.4176854400546754,100.93523526146585
