radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,pixels_certain_positive,pixels_uncertain_boundary,pixels_certain_negative
1,0.0006719244411215186,0.0035252904053777456,0.04077906161546707,0.00034848449286073446,4965,1707,255472
1,0.0006861732108518481,0.003954180516302586,0.03384457901120186,0.0004695332027040422,1519,1543,259082
2,0.0006719244411215186,0.0013354127295315266,0.024277178570628166,0.0003448794304858893,4139,3411,254594
2,0.0006861732108518481,0.00048741590580902994,0.023267710581421852,0.0004212853091303259,819,3037,258288
3,0.0006719244411215186,0.0007703703595325351,0.016946209594607353,0.00034277193481102586,3333,5111,253700
3,0.0006861732108518481,0.00031135344761423767,0.019204365089535713,0.0003941003524232656,593,4073,257478
1,0.0009102736948989332,0.002354197669774294,0.04905039817094803,0.0005993535160087049,2298,1599,258247
1,0.00061544228810817,0.001704766065813601,0.049799539148807526,0.00028993416344746947,3342,1628,257174
2,0.0009102736948989332,0.0008799855713732541,0.027318555861711502,0.0005825847038067877,1525,3196,257423
2,0.00061544228810817,0.000987672945484519,0.034530624747276306,0.0001812048867577687,2554,3254,256336
3,0.0009102736948989332,0.0007210433832369745,0.019441964104771614,0.0005773614393547177,942,4619,256583
3,0.00061544228810817,0.0009080608142539859,0.024478571489453316,0.00015777259250171483,1784,4878,255482
1,0.0005920014809817076,0.000860457366798073,0.05226385220885277,0.00018368441669736058,5637,1982,254525
1,0.0015700862277299166,0.02003452740609646,0.056013643741607666,0.000849697447847575,4478,1866,255800
2,0.0005920014809817076,0.000721139891538769,0.02738104946911335,0.0001712602243060246,4676,3959,253509
2,0.0015700862277299166,0.018879644572734833,0.03770733252167702,0.0007988382712937891,3576,3726,254842
3,0.0005920014809817076,0.0006728712469339371,0.01855522207915783,0.0001688263437245041,3736,5931,252477
3,0.0015700862277299166,0.01830855756998062,0.030669672414660454,0.0007527219131588936,2696,5580,253868
1,0.0004970882437191904,0.007812798023223877,0.03910018131136894,2.2523754523717798e-05,5395,2108,254641
1,0.0006671430310234427,0.0028709983453154564,0.048033248633146286,0.0002611159288790077,3881,2016,256247
2,0.0004970882437191904,0.008388553746044636,0.021360380575060844,1.4344718692882452e-05,4365,4216,253563
2,0.0006671430310234427,0.0015258198836818337,0.029080111533403397,0.00020916307403240353,2903,4026,255215
3,0.0004970882437191904,0.009192446246743202,0.015197399072349072,1.3548086826631334e-05,3355,6320,252469
3,0.0006671430310234427,0.0010629137977957726,0.02106962539255619,0.00018007140897680074,1947,6030,254167
1,0.0014773220755159855,0.0025410044472664595,0.05749236047267914,0.00103751290589571,5866,1886,254392
1,0.0006515008863061666,0.0044597056694328785,0.03505118936300278,0.0001380578032694757,11158,2474,248512
2,0.0014773220755159855,0.001901889918372035,0.032724522054195404,0.0010050463024526834,4955,3763,253426
2,0.0006515008863061666,0.003041017334908247,0.024666111916303635,7.608835585415363e-05,9946,4935,247263
3,0.0014773220755159855,0.0018561333417892456,0.023377295583486557,0.0009824610315263271,4066,5634,252444
3,0.0006515008863061666,0.002290495904162526,0.019403649494051933,2.9659615393029526e-05,8749,7393,246002
1,0.0008209466468542814,0.011688594706356525,0.062306616455316544,0.00021262273367028683,2728,2064,257352
1,0.0011519480030983686,0.035891637206077576,0.05612980201840401,0.00026824563974514604,3845,1695,256604
2,0.0008209466468542814,0.005925672594457865,0.04127225652337074,0.0001353027328150347,1721,4127,256296
2,0.0011519480030983686,0.037512488663196564,0.03899579122662544,0.00022091039863880724,3021,3389,255734
3,0.0008209466468542814,0.0016241436824202538,0.03058718331158161,0.00012259634968359023,958,5962,255224
3,0.0011519480030983686,0.041408926248550415,0.03218212351202965,0.00018252719019073993,2239,5057,254848
1,0.0004991228925064206,0.0016250896733254194,0.041553862392902374,0.00012979567691218108,7181,2078,252885
1,0.0006448805797845125,0.00450050737708807,0.05365775525569916,9.242756641469896e-05,6181,2195,253768
2,0.0004991228925064206,0.0008754166774451733,0.022968335077166557,0.0001196946541313082,6174,4149,251821
2,0.0006448805797845125,0.0035490558948367834,0.030038315802812576,7.552575698355213e-05,5109,4389,252646
3,0.0004991228925064206,0.0008087599417194724,0.015594951808452606,0.00011860749509651214,5187,6214,250743
3,0.0006448805797845125,0.0029676498379558325,0.021303566172719002,6.716416100971401e-05,4059,6577,251508
1,0.0005914884968660772,0.00665050046518445,0.04116794466972351,0.00031193523318506777,2254,1444,258446
1,0.0007690376369282603,0.00577665027230978,0.04704376682639122,0.0002748311962932348,5356,2140,254648
2,0.0005914884968660772,0.002470756182447076,0.025453411042690277,0.00030178565066307783,1559,2885,257700
2,0.0007690376369282603,0.003234298201277852,0.02869260683655739,0.00025618314975872636,4314,4276,253554
3,0.0005914884968660772,0.0018832327332347631,0.018107829615473747,0.000294798199320212,922,4284,256938
3,0.0007690376369282603,0.00145293481182307,0.020875152200460434,0.00024974875850602984,3292,6408,252444
1,0.0006720360834151506,0.007886731065809727,0.049560267478227615,0.00014718988677486777,5806,1875,254463
1,0.0006707709981128573,0.007033743895590305,0.05240144208073616,3.890069274348207e-05,5894,2376,253874
2,0.0006720360834151506,0.00528655294328928,0.03266673907637596,0.00011021555110346526,4898,3745,253501
2,0.0006707709981128573,0.0027367661241441965,0.033179592341184616,2.103829501720611e-05,4733,4749,252662
3,0.0006720360834151506,0.0034726238809525967,0.024579422548413277,9.659791976446286e-05,4013,5608,252523
3,0.0006707709981128573,0.0020309770479798317,0.022969378158450127,2.007399598369375e-05,3592,7118,251434
1,0.0006412265356630087,0.006297793705016375,0.050969723612070084,1.64217381097842e-05,8132,2212,251800
1,0.0006072315154597163,0.01061734464019537,0.04046157747507095,2.7306507035973482e-05,5650,2280,254214
2,0.0006412265356630087,0.005320138763636351,0.028807858005166054,1.2904202776553575e-05,7054,4420,250670
2,0.0006072315154597163,0.0074703628197312355,0.026147514581680298,2.4022097932174802e-05,4534,4560,253050
3,0.0006412265356630087,0.005287427455186844,0.02013443410396576,1.2042583875881974e-05,5995,6625,249524
3,0.0006072315154597163,0.007232522591948509,0.01881122589111328,2.2952412109589204e-05,3443,6831,251870
1,0.0005115993553772569,0.0024637531023472548,0.0490146242082119,2.216633947682567e-05,7561,2242,252341
1,0.000708315521478653,0.008659448474645615,0.039384301751852036,0.0002745228121057153,3016,2261,256867
2,0.0005115993553772569,0.0020788947585970163,0.02589804120361805,1.8587388694868423e-05,6468,4479,251197
2,0.000708315521478653,0.008015095256268978,0.03057149611413479,0.00012657891784328967,1922,4511,255711
3,0.0005115993553772569,0.0019236683147028089,0.01776832342147827,1.7954882423509844e-05,5396,6711,250037
3,0.000708315521478653,0.006514835171401501,0.025495806708931923,4.997679207008332e-05,1103,6502,254539
1,0.0005801431252621114,0.010256815701723099,0.050911519676446915,3.7485828215721995e-05,3665,2060,256419
1,0.00045474187936633825,0.0044522956013679504,0.032011713832616806,8.907532173907384e-05,5098,2306,254740
2,0.0005801431252621114,0.007502016145735979,0.030889837071299553,1.9059154510614462e-05,2659,4120,255365
2,0.00045474187936633825,0.0035596913658082485,0.021433942019939423,2.4963450414361432e-05,3976,4606,253562
3,0.0005801431252621114,0.007327915169298649,0.022060485556721687,1.527857966721058e-05,1694,6155,254295
3,0.00045474187936633825,0.0032335249707102776,0.015471997670829296,1.2929082913615275e-05,2875,6893,252376
1,0.0008617381099611521,0.01638690009713173,0.05379563942551613,2.593512908788398e-05,6030,2240,253874
1,0.00048650457756593823,0.002979409648105502,0.055114153772592545,2.7866708478541113e-05,4807,1925,255412
2,0.0008617381099611521,0.017046485096216202,0.0309300534427166,1.2927299394505098e-05,4937,4477,252730
2,0.00048650457756593823,0.0020080613903701305,0.029919244349002838,1.921574948937632e-05,3877,3839,254428
3,0.0008617381099611521,0.018144989386200905,0.022783029824495316,1.1561275641724933e-05,3863,6711,251570
3,0.00048650457756593823,0.0016770947258919477,0.02062639780342579,1.6018786482163705e-05,2967,5745,253432
1,0.0007753410609439015,0.0048458450473845005,0.04689929634332657,0.00028119361377321184,6237,2168,253739
1,0.0008106072200462222,0.012592526152729988,0.03199587017297745,8.368759154109284e-05,8287,2723,251134
2,0.0007753410609439015,0.0034309665206819773,0.028199264779686928,0.00025122700026258826,5186,4326,252632
2,0.0008106072200462222,0.010347766801714897,0.02347836084663868,5.117694308864884e-05,6955,5441,249748
3,0.0007753410609439015,0.0028481900226324797,0.020727582275867462,0.00022711927886120975,4155,6479,251510
3,0.0008106072200462222,0.009013300761580467,0.019168796017766,2.1390485926531255e-05,5643,8155,248346
1,0.0005290179396979511,0.0032187839969992638,0.04119834303855896,0.00015684858954045922,5444,1971,254729
1,0.0005250248359516263,0.001913412706926465,0.04786016047000885,0.00015557951701339334,6029,1808,254307
2,0.0005290179396979511,0.0017126600723713636,0.026364823803305626,0.00010738913260865957,4488,3935,253721
2,0.0005250248359516263,0.0017786443931981921,0.02716120146214962,0.00011942166747758165,5149,3616,253379
3,0.0005290179396979511,0.0014527058228850365,0.01817234233021736,0.00010451101115904748,3553,5894,252697
3,0.0005250248359516263,0.0017272536642849445,0.01877463608980179,0.00011262813495704904,4287,5422,252435
1,0.0011002742685377598,0.0038806512020528316,0.0550595223903656,0.0005482375854626298,9745,2059,250340
1,0.0005060883704572916,0.0047100381925702095,0.04346882179379463,2.9490585802705027e-05,5579,2275,254290
2,0.0011002742685377598,0.0025712058413773775,0.0354195199906826,0.000482304603792727,8744,4114,249286
2,0.0005060883704572916,0.002546147210523486,0.02578156255185604,1.5949604858178645e-05,4468,4548,253128
3,0.0011002742685377598,0.002068954985588789,0.02673063986003399,0.0004333911929279566,7763,6165,248216
3,0.0005060883704572916,0.001991384895518422,0.01792772486805916,1.4867046047584154e-05,3378,6816,251950
1,0.0018056780099868774,0.02156340330839157,0.08733570575714111,0.0005875056376680732,5832,2271,254041
1,0.0007570999441668391,0.007677037268877029,0.05609450116753578,0.00011999548587482423,4657,2355,255132
2,0.0018056780099868774,0.02028086595237255,0.05870940163731575,0.0004396352742332965,4724,4537,252883
2,0.0007570999441668391,0.006991708185523748,0.03451740741729736,4.5464435970643535e-05,3507,4705,253932
3,0.0018056780099868774,0.019923347979784012,0.04577712342143059,0.00035890607978217304,3662,6773,251709
3,0.0007570999441668391,0.006525346543639898,0.024836596101522446,3.136785016977228e-05,2382,7046,252716
1,0.0005231049144640565,0.006853231694549322,0.04066826030611992,3.465468034846708e-05,5287,2264,254593
1,0.0010129130678251386,0.010064704343676567,0.04980739951133728,0.0003605240199249238,5965,2288,253891
2,0.0005231049144640565,0.0065888091921806335,0.023019015789031982,2.1165344151086174e-05,4179,4528,253437
2,0.0010129130678251386,0.00988343171775341,0.03326530009508133,0.00025933043798431754,4850,4571,252723
3,0.0005231049144640565,0.006368440575897694,0.016542967408895493,2.05775741051184e-05,3095,6784,252265
3,0.0010129130678251386,0.009481996297836304,0.0273560993373394,0.0001688854827079922,3752,6853,251539
1,0.000612392439506948,0.007276597432792187,0.048190001398324966,9.913727990351617e-05,5104,2036,255004
1,0.0006427376065403223,0.005674072541296482,0.050461772829294205,0.0001713707169983536,3647,2058,256439
2,0.000612392439506948,0.0037569794803857803,0.03434060886502266,2.1594316422124393e-05,4114,4065,253965
2,0.0006427376065403223,0.0032574597280472517,0.03006158396601677,0.0001420634362148121,2648,4111,255385
