radius,n_images,total_pixels,gt_positive_pixels,pred_positive_pixels,certain_positive_pixels,uncertain_boundary_pixels,certain_negative_pixels,fp_total,fn_total,error_total,error_certain_positive,error_uncertain_boundary,error_certain_negative,fp_uncertain_boundary,fn_uncertain_boundary,fp_certain_negative,fn_certain_positive,certain_region_errors,global_pct_errors_in_uncertain_boundary,global_pct_errors_in_certain_regions,global_pct_false_positives_in_uncertain_boundary,global_pct_false_negatives_in_uncertain_boundary,global_error_rate_total,global_error_rate_certain_positive,global_error_rate_uncertain_boundary,global_error_rate_certain_negative,error_rate_total_mean,error_rate_total_std,error_rate_certain_positive_mean,error_rate_certain_positive_std,error_rate_uncertain_boundary_mean,error_rate_uncertain_boundary_std,error_rate_certain_negative_mean,error_rate_certain_negative_std,pct_errors_in_uncertain_boundary_mean,pct_errors_in_uncertain_boundary_std,pct_errors_in_certain_regions_mean,pct_errors_in_certain_regions_std,pct_false_positives_in_uncertain_boundary_mean,pct_false_positives_in_uncertain_boundary_std,pct_false_negatives_in_uncertain_boundary_mean,pct_false_negatives_in_uncertain_boundary_std
1,42,11010048,230962,236221,196244,69774,10744030,27809,22550,50359,10565,23222,16572,11237,11985,16572,10565,27137,0.461129093110544,0.5388709068874702,0.4040778165327625,0.5314855875807917,0.004573912847609705,0.05383604084708127,0.33281738183229737,0.001542437986491088,0.004573912847608002,0.0015432512106621067,0.05170737166252709,0.037705219060191864,0.33234293201414233,0.04998638128989973,0.001541547878038033,0.001370167761252982,0.5009793236154415,0.14683273712656766,0.49902067629250224,0.14683273714984021,0.4931480424165109,0.22153169180019322,0.5810695010712867,0.21558342675944306
2,42,11010048,230962,236221,160442,143280,10706326,27809,22550,50359,5973,32295,12091,15718,16577,12091,5973,18064,0.6412954983207743,0.35870450167724,0.5652127009221287,0.7351219512162522,0.004573912847609705,0.03722840652694604,0.22539782244540382,0.0011293323218441028,0.004573912847608002,0.0015432512106621067,0.03514407634403395,0.0326996944988902,0.22459533628328843,0.05431152865610605,0.0011277333111966378,0.0013453127306137047,0.6810697770671161,0.18296567901051675,0.3189302228408277,0.18296567902770475,0.6522003646012026,0.26780492698938524,0.7672716444734087,0.20583797431852757
3,42,11010048,230962,236221,127489,212240,10670319,27809,22550,50359,3978,36015,10366,17443,18572,10366,3978,14344,0.7151651144766275,0.28483488552138675,0.6272429788894701,0.8235920177347069,0.004573912847609705,0.031202691996932125,0.16968997361469576,0.0009714798592244432,0.004573912847608002,0.0015432512106621067,0.02993313336444327,0.030068904624010986,0.16919403195655028,0.0476536948878956,0.0009691491433197963,0.0013356059076909067,0.7505989917919307,0.192146662935753,0.249401008116013,0.19214666294963836,0.708632403383188,0.2751749577716547,0.8410195490493596,0.1819765015548603
